0	1	2	3	4
ATF3(+) 763	0.850771547112444	0.513320714424666	-1.05270932544142	0.807639479355315	-1.119022415451
MAFG(+) 51	0.954222006984035	0.563460754887153	-0.920491913319399	0.635842514221346	-1.23303336277314
CEBPD(+) 538	1.02613405393528	0.632446481441607	-1.11372487389623	0.488572632731124	-1.03342829421178
FOSB(+) 111	0.884928172942959	0.653322282212413	-0.91826184396992	0.626668486239461	-1.24665709742491
AHR(+) 253	0.213846984694075	-0.317312387009117	-0.0582260437033837	1.46596665313855	-1.30427520712013
ETV6(+) 897	0.305471100946834	0.257756363047275	-0.732734030993347	1.36713069781478	-1.19762413081554
YBX1(+) 16	0.722117410294282	0.854849343628063	-1.0525415661237	0.604512393692358	-1.12893758149101
IRF5(+) 272	0.625379272810408	0.951596509111973	-1.06419423849428	0.59195556560944	-1.10473710903754
MEF2C(+) 62	0.727351913174796	1.04366292354798	-1.05395814881692	0.35344566193471	-1.07050234984057
RXRA(+) 85	0.675252175934957	1.29505174058779	-1.12411362628596	-0.0729344394071794	-0.773255850829609
SPI1(+) 1769	0.73877772043927	1.06305929535831	-1.12023044706361	0.306074757668701	-0.987681326402674
CEBPB(+) 978	0.550661694036781	1.36589539373822	-1.04338200750665	-0.0115945413119441	-0.861580538956409
KLF4(+) 527	0.653081973579536	1.03410210673155	-1.14009806445952	0.452625573632362	-0.999711589483927
MAFB(+) 185	0.877162528994633	1.10884008010927	-1.03243577769993	0.0133650762977595	-0.966931907701729
NFIC(+) 13	1.07352069752567	-0.0349080720191638	-0.525798045233183	0.84776247879618	-1.3605770590695
ETV3(+) 389	-0.0339938187815023	-0.00306574813041758	1.10828079923863	0.512433091708185	-1.5836543240349
NR1D2(+) 21	-0.659264263167455	-0.673253530733305	0.186576039171979	-0.527187848378597	1.67312960310738
MYBL1(+) 31	-0.376118570736596	-0.551019847160683	-0.136396385155447	-0.686993205862635	1.75052800891536
GABPA(+) 357	-0.393843333036327	-0.484870473170132	-0.320883233735389	-0.580732181548421	1.78032922149027
ELF2(+) 867	-0.470612987530002	-0.343339912266818	-0.0836172515576569	1.72370334512697	-0.826133193772488
HIF1A(+) 14	-0.337433074648567	-1.44085149770323	1.28638568693335	0.11496186807971	0.37693701733873
ZNF22(+) 13	-0.794291777057656	-0.732143054526345	0.733172662828131	-0.598580584790815	1.39184275354668
LEF1(+) 49	-0.495061171138138	-0.694129801255103	1.59682475564334	-0.76957580891318	0.36194202566308
TBX21(+) 115	-0.623222481239714	-0.588969561791067	-0.0162176829345661	-0.506051882923853	1.7344616088892
EOMES(+) 273	-0.776791683904395	-0.747133846987807	0.629521628431122	-0.56327047379421	1.45767437625529
EGR1(+) 758	-0.772720827940824	-1.06189314523215	1.45740096685099	-0.0115472701334263	0.388760276455416
JUN(+) 1071	-0.781385562421292	-0.927546748808801	1.55907025252491	-0.133832306731616	0.2836943654368
SPIB(+) 909	-0.411643351547723	-0.836712288171304	0.413707992067999	1.55990634762501	-0.725258699973985
