source	target	mor
NFKB1_REL	BTK	1
NFKB2_RELB	BTK	1
RELB	BTK	1
NFKB1_RELA	BTK	1
NFKB2	BTK	1
NFKB2_REL	BTK	1
REL_RELB	BTK	1
FOSL1_JUNB	IL12B	1
FOS_JUN	IL12B	1
FOS_JUNB	IL12B	1
FOSL2_JUND	IL12B	1
FOSL2_JUN	IL12B	1
FOSB_JUNB	IL12B	1
FOSL2_JUNB	IL12B	1
JUND	IL12B	1
JUN_JUND	IL12B	1
JUNB_JUND	IL12B	1
FOSL1_JUND	IL12B	1
FOSL1_JUN	IL12B	1
FOSB_JUND	IL12B	1
FOSB_JUN	IL12B	1
JUN_JUNB	IL12B	1
FOS_JUND	IL12B	1
RELA_RELB	IL4	1
NFKB2_RELA	IL4	1
NFKB1_RELB	IL4	1
REL_RELA	IL4	1
NFKB1_NFKB2	IL4	1
NFKB1_REL	IL4	1
NFKB2_RELB	IL4	1
RELB	IL4	1
NFKB1_RELA	IL4	1
NFKB2	IL4	1
NFKB2_REL	IL4	1
REL_RELB	IL4	1
RELA_RELB	MAF	1
NFKB2_RELA	MAF	1
NFKB1_RELB	MAF	1
REL_RELA	MAF	1
NFKB1_NFKB2	MAF	1
NFKB1_REL	MAF	1
NFKB2_RELB	MAF	1
RELB	MAF	1
NFKB1_RELA	MAF	1
NFKB2	MAF	1
NFKB2_REL	MAF	1
REL_RELB	MAF	1
REL	MAF	1
FOSL1_JUNB	BACE1	1
FOS_JUN	BACE1	1
FOS_JUNB	BACE1	1
FOSL2_JUND	BACE1	1
FOSL2_JUN	BACE1	1
JUN	BACE1	1
FOSB_JUNB	BACE1	1
JUNB	BACE1	1
FOSL2_JUNB	BACE1	1
JUND	BACE1	1
JUN_JUND	BACE1	1
JUNB_JUND	BACE1	1
FOSL1_JUND	BACE1	1
FOSL1_JUN	BACE1	1
FOSB_JUND	BACE1	1
FOSB_JUN	BACE1	1
JUN_JUNB	BACE1	1
FOS_JUND	BACE1	1
FOSL1_JUNB	CTNNB1	1
FOS_JUN	CTNNB1	1
FOS_JUNB	CTNNB1	1
FOSL2_JUND	CTNNB1	1
FOSL2_JUN	CTNNB1	1
FOSB_JUNB	CTNNB1	1
JUNB	CTNNB1	1
FOSL2_JUNB	CTNNB1	1
JUND	CTNNB1	1
JUN_JUND	CTNNB1	1
JUNB_JUND	CTNNB1	1
FOSL1_JUND	CTNNB1	1
FOSL1_JUN	CTNNB1	1
